Set	Gene
EC1_ImmuneActivation	CD3D
EC1_ImmuneActivation	CD3E
EC1_ImmuneActivation	CD8A
EC1_ImmuneActivation	CD8B
EC1_ImmuneActivation	IFNG
EC1_ImmuneActivation	GZMB
EC1_ImmuneActivation	PRF1
EC1_ImmuneActivation	NKG7
EC1_ImmuneActivation	CXCL9
EC1_ImmuneActivation	CXCL10
EC1_ImmuneActivation	TBX21
EC1_ImmuneActivation	STAT1
EC1_ImmuneActivation	ITGAE
EC1_ImmuneActivation	PDCD1
EC2_TLSImmunity	CD19
EC2_TLSImmunity	MS4A1
EC2_TLSImmunity	CD79A
EC2_TLSImmunity	CD79B
EC2_TLSImmunity	CXCR5
EC2_TLSImmunity	CXCL13
EC2_TLSImmunity	TNFRSF13B
EC2_TLSImmunity	MZB1
EC2_TLSImmunity	JCHAIN
EC2_TLSImmunity	BANK1
EC2_TLSImmunity	CD27
EC2_TLSImmunity	CD74
EC3_AngiogenesisTME	KDR
EC3_AngiogenesisTME	FLT1
EC3_AngiogenesisTME	FLT4
EC3_AngiogenesisTME	PECAM1
EC3_AngiogenesisTME	VWF
EC3_AngiogenesisTME	EMCN
EC3_AngiogenesisTME	ESAM
EC3_AngiogenesisTME	ANGPT2
EC3_AngiogenesisTME	VEGFA
EC3_AngiogenesisTME	ACKR1
EC3_AngiogenesisTME	RGS5
EC3_AngiogenesisTME	CDH5
EC3_AngiogenesisTME	SEMA3G
EC4_ECMOrganization	COL1A1
EC4_ECMOrganization	COL1A2
EC4_ECMOrganization	COL3A1
EC4_ECMOrganization	COL5A1
EC4_ECMOrganization	COL5A2
EC4_ECMOrganization	COL6A1
EC4_ECMOrganization	COL6A2
EC4_ECMOrganization	COL6A3
EC4_ECMOrganization	DCN
EC4_ECMOrganization	LUM
EC4_ECMOrganization	FAP
EC4_ECMOrganization	POSTN
EC4_ECMOrganization	MMP2
EC4_ECMOrganization	TGFB1
EC4_ECMOrganization	THY1
EC5_MetabolismTME	APOA1
EC5_MetabolismTME	APOE
EC5_MetabolismTME	FABP1
EC5_MetabolismTME	FABP4
EC5_MetabolismTME	CPT1A
EC5_MetabolismTME	ACADM
EC5_MetabolismTME	ATP5F1A
EC5_MetabolismTME	NDUFS1
EC5_MetabolismTME	COX5A
EC5_MetabolismTME	PPARGC1A
EC5_MetabolismTME	TREM2
EC5_MetabolismTME	CD68
EC5_MetabolismTME	CD163
EC5_MetabolismTME	LAMP3
EC5_MetabolismTME	CCL2
