Set	Gene
T_Cell_Activation	CD3D
T_Cell_Activation	CD3E
T_Cell_Activation	CD8A
T_Cell_Activation	CD8B
T_Cell_Activation	PRF1
T_Cell_Activation	GZMB
T_Cell_Activation	NKG7
T_Cell_Activation	TBX21
T_Cell_Activation	ITGAE
IFNG_Response	IFNG
IFNG_Response	STAT1
IFNG_Response	IRF1
IFNG_Response	CXCL9
IFNG_Response	CXCL10
IFNG_Response	IDO1
IFNG_Response	GBP1
TLS_BCell_Immunity	CD19
TLS_BCell_Immunity	MS4A1
TLS_BCell_Immunity	CD79A
TLS_BCell_Immunity	CD79B
TLS_BCell_Immunity	CXCR5
TLS_BCell_Immunity	CXCL13
TLS_BCell_Immunity	MZB1
TLS_BCell_Immunity	JCHAIN
Antigen_Presentation	B2M
Antigen_Presentation	TAP1
Antigen_Presentation	TAP2
Antigen_Presentation	CIITA
Antigen_Presentation	CD74
Angiogenesis	VEGFA
Angiogenesis	KDR
Angiogenesis	FLT1
Angiogenesis	ANGPT2
Angiogenesis	PECAM1
Angiogenesis	VWF
Angiogenesis	ESAM
Angiogenesis	EMCN
ECM_Fibroblast	COL1A1
ECM_Fibroblast	COL1A2
ECM_Fibroblast	COL3A1
ECM_Fibroblast	DCN
ECM_Fibroblast	LUM
ECM_Fibroblast	FAP
ECM_Fibroblast	POSTN
ECM_Fibroblast	TGFB1
ECM_Fibroblast	THY1
OxPhos_Metabolism	NDUFA1
OxPhos_Metabolism	NDUFS1
OxPhos_Metabolism	UQCRC1
OxPhos_Metabolism	COX5A
OxPhos_Metabolism	COX6C
OxPhos_Metabolism	ATP5F1A
OxPhos_Metabolism	ATP5F1B
OxPhos_Metabolism	ATP5MC1
OxPhos_Metabolism	SDHA
OxPhos_Metabolism	SDHB
Myeloid_Chemotaxis	CCL2
Myeloid_Chemotaxis	CCL7
Myeloid_Chemotaxis	CCL8
Myeloid_Chemotaxis	CXCL8
Myeloid_Chemotaxis	S100A8
Myeloid_Chemotaxis	S100A9
Myeloid_Chemotaxis	CSF1
Myeloid_Chemotaxis	IL1B
Myeloid_Chemotaxis	TREM2
Myeloid_Chemotaxis	APOE
FGFR_Signaling	FGFR1
FGFR_Signaling	FGFR2
FGFR_Signaling	FGFR3
FGFR_Signaling	FGF3
FGFR_Signaling	FGF4
FGFR_Signaling	FGF7
FGFR_Signaling	FGF9
FGFR_Signaling	FGF19
FGFR_Signaling	FRS2
FGFR_Signaling	KLB
APOA1_TREM2_Axis	APOA1
APOA1_TREM2_Axis	APOE
APOA1_TREM2_Axis	TREM2
APOA1_TREM2_Axis	CD68
APOA1_TREM2_Axis	CD163
APOA1_TREM2_Axis	LAMP3
APOA1_TREM2_Axis	MARCO
APOA1_TREM2_Axis	C1QA
APOA1_TREM2_Axis	C1QB
