Ecotype	T_Cell_Activation	IFNG_Response	TLS_BCell_Immunity	Antigen_Presentation	Angiogenesis	ECM_Fibroblast	OxPhos_Metabolism	Myeloid_Chemotaxis	FGFR_Signaling	APOA1_TREM2_Axis
CE8	-0.642008683856756	-0.56315651079029	-0.614048104407327	-0.547988460511446	-0.461817012012165	-0.583981457654321	-0.213658796980207	-0.565707245676257	-0.150665089134525	-0.563793834446134
CE6	-0.324966140771278	-0.496502938641296	-0.0422493132226733	-0.458902594409763	0.0399250168301114	0.173930176287592	-0.56200080261711	-0.376248152068611	-0.115075717985142	-0.303191917145719
CE1	-0.242026917925027	-0.186553597055539	-0.308956927691182	-0.261904327054713	-0.0443364969749052	0.514729475606029	-0.214059886315329	0.055414098610356	-0.255742154618875	-0.024796759427067
CE9	0.563915088472612	0.639366597873974	0.0821434805042492	0.476072100742858	-0.322341308645832	-0.218707349660944	-0.0532542282883828	0.0329034234834069	-0.370607941084941	0.190862239361665
CE4	-0.438123214025943	-0.420444419904392	-0.288059153557182	-0.477337459773299	-0.398504527501322	-0.551212856254409	-0.307799004436925	-0.410204351973511	-0.257570184737363	-0.361307028891222
CE3	-0.237340541550841	-0.168793346594635	-0.168694296949541	-0.128262211465745	0.0410013914803877	-0.00883140217216766	-0.105074181464186	0.386418283050081	-0.290269806377013	0.228622269879145
CE10	0.256187335022315	-0.065834250588127	0.649619357823024	0.146906232908019	-0.183457910681577	-0.286681472575039	-0.379860670363889	-0.333791931336728	-0.315579143224948	-0.095024925206022
CE2	-0.427222240783807	-0.336095824773493	-0.455901616179151	-0.335192592752329	-0.413551330293415	-0.448798122193197	-0.20118475799931	-0.178765343894411	-0.29510572413143	-0.412090881593938
CE7	-0.445077080774195	-0.308572805857421	-0.623803058954313	-0.224269198653298	-0.306505849768212	-0.542537864136852	0.234851918854903	-0.392916873730346	-0.469628575107903	-0.48451344159415
CE5	-0.511686991974938	-0.500588962507887	-0.425601573156588	-0.60494517425537	-0.265651684982903	-0.283586623195546	-0.239926602515519	-0.375877930098552	-0.0055984709454688	-0.391596322620299
